slogan,label
【→內有抽獎】邀您體驗最新額度試算，還可以[DISCOUNT]禮券喔！,0
【[DATE]！開信搶限定】[DATE]前申請[UNK]即享美元[NUM]分優惠,0
【[DATE]哈燒話題】[DATE]必搶攻略！[NUM]吋熊大[NUM]吋熊大、魔鬼大放送,0
【辦貸款真的要趁現在】前[NUM]期利率只要[X%]，還可抽[ORG][UNK]喔！,0
★旅遊 i 刷[PRODUCT]★《今晚．家[PRODUCT]專屬訂房網》翰品．兆品酒店住宿最低[X元]起,1
【貴賓限定】申辦LINE Pay[PRODUCT]享免年費、消費最高[DISCOUNT]，滿額最高再送LINE Points [X元]點 ,1
【美元相對低點近期一直來】新台幣定存解約轉存[NUM]個月，年息最高美元[X%]、人民幣[X%]！,0
【專屬優惠】快速開戶免跑分行，設定信用卡自扣再享[X%]刷卡金,1
【最後倒數~錯過可惜】貸款日付最低不用[X元]，申請還抽[GPE]雙人來回機票，快打開看→,0
【雙[NUM]日元限定】指定[PRODUCT]憑[DISCOUNT]無上限！[URGE]辦起來！,0
你在等待的是？[URGE]購買[ORG]刷[PRODUCT]最高享[X%]折扣優惠！,0
中國信託專門從事外幣存款交易，一起把所有優勢交付,0
中信銀薪轉戶專屬通知：美元低點近期一直來，快來隨時搶換[NUM]組[X%]年終折[X元]喔！,0
【外幣服務開啟通知】[DATE]最新優惠券準備[UNK]給你，限時優惠搶搭配好康！,0
【星展美利[DATE]市場專屬優質客戶於[NUM]】恭喜您獲得高額利息[X%]的回報。請立即點閱了解詳情,0
【[ORG]】[DATE]i刷[PRODUCT]，滿額享[X折]優惠！,1
【優利專屬你的外幣活動通知】請至[DATE]中信銀行或個人網路/行李箱購買外幣！,0
【[PRODUCT][NUM]期分期[NUM]利率】★╮貸款前兩期只要《[X%]》，動動手指申請不麻煩!再抽最夯《[UNK][UNK]》,0
【讓你輕鬆分吧~】尋找快樂與分期一樣簡單的方法~,1
【沒剩幾天，[URGE]來參加抽獎】[PRODUCT]給您超低優惠利率，現在還有[ORG]好禮抽獎，立刻申請囉！ ,1
【[DATE]定存優利專案】年息最高美元[X%]、人民幣[X%]！,0
【薪轉戶房信貸都優惠】開辦費折扣殺很大~~~不要錯過快來看看喔!,1
小資輕鬆能擁有的保險#聰明買保險,1
網銀不怕忘記繳費//月付只要銅板價/[UNK]活動日期再抽[NUM][X元]禮券！,0
【優匯開搶通知】雙[NUM]沒搶夠？[DATE] [NUM]點千萬別錯過！限量[NUM]組換匯優惠等你拿~,1
【[DATE]中信新臺幣活儲專案_刀豆茶】一次投入就能輕鬆獲得[NUM]-[NUM]檔基金！,0
【[DATE]壽星，祝您生日快樂】我們嚴選推薦線上貸款，邀請您來體驗，《貸款再抽紅包喔》!,1
【所以我說[UNK]那個[UNK]呢】小編小知道大家很納悶，但是快到期囉現在不用出門排隊！,0
【[DATE]哈燒話題】[NUM]大聰明三招讓你選擇定存一份~存領年終如何實現,0
【開學買新車】PGO摩特動力機車/電車新上市．[PRODUCT]享最高分[NUM]期零利率優惠,1
【缺錢不著急】[PRODUCT]限時優惠，線上申請享開辦費８折優惠，再抽ＮＴ２[X元],1
【立即入手好康】新春出遊趣，體驗中信數位服務抽百萬大禮包！,0
《繳完稅荷包失血了嗎?快幫自己存一包錢!》年息最高美元[X%]、人民幣[X%]！ ,1
[DATE][DATE][NUM]日 及[DATE][DATE][NUM]日凌晨系統暫停服務公告,1
"[ORG]買賣兌換[GPE][ORG][X元]，[ORG],天天限量兌換",0
★[ORG]歡慶母親節★首五日，大高卡滿[X元]送[NUM]百禮券,1
了解更多市場資訊：依市場氣象圖尋找適合投資標的：【上週市場回顧】美墨歐喬斯、紐國及[UNK][NUM],0
一起存！不能等！快來搶這些美元[NUM]分最高享年息的美元定存~加碼越多賺越多,0
【恭喜！您獲得此優惠訊息】外幣優利定存~[DATE]截止，撥打電話享[X%]優惠！,0
【還有一種方法讓你輕鬆分開吧!】這裡有新招商品隨享隨時升換,0
【[NUM]-購物季】[ORG]卡有好康！快搶[GPE]來拿!,0
揪團來撥薪，中信好康等你拿,1
<<星展每週投資評論>近期不斷在上次獲得美元大幅下跌的影響，星展建議與歐元兌換,0
[ORG][GPE]網頁刷LINE Pay Visa卡別享[DISCOUNT]~宅家能買全世界！,1
【美元近[NUM]年相對低點】新臺幣定存解約轉存外幣定存，美元年息最高[X%]、人民幣[X%],0
【母親節i刷[PRODUCT]】指定百貨享最高[X%]滿額回饋★,1
【即刻領取可在[NUM]點開搶】[DATE][NUM]:[NUM]開始兌換外幣，還可享高利定存優惠喔！,0
【限量[NUM]組優匯】[DATE]一起換外幣搶購！[UNK]、[ORG]等同為你的美元低點超高搶手！,0
【年終狂歡季】聖誕大餐、動物體驗、吃喝玩樂在六福。,1
國泰世華[ORG]聯名卡於momo城市指定市場刷卡滿[X元]，輸入折扣碼並完成指定條件(就可獲得[NUM]次購機票)獎,0
[DATE]到全聯搶購逛街口罩大道、跨年慶樣品任一筆消費滿額最高送[X元]加贈[NUM]福利點！,0
量販超市i刷[PRODUCT]  刷卡滿額送好禮,1
【六福生活美學聯名卡優惠】[DATE][DATE]前至威斯汀六福皇宮祉園、一禮烘焙、[ORG]享刷卡折扣優惠!,1
星展本次省利禮券只要定存最高[X%]的買基金，即可參加「星展豐盛理財限時搶購」一波；[NUM]人同行[NUM],0
[PRODUCT]紅利 玩轉點數加碼送OPENPOINT,1
【房貸額度線上小平台大募集】小錢存到不思議，讓人生頭痛苦~最快一年核准額度滿意後自助撥款！,0
【您專屬的理財方案】存錢好難？現在來，我們有種窮人!,0
【最高[X元]限時三[X%]】外幣優利定存年息最高美元[X%]、人民幣[X%]！,0
【月薪族必讀】想要每月多領[X元]點優惠，還有抽[ORG][UNK]快跟上？立即行動銀行的聰明體驗。,0
【[DATE]資產檢視報告】我們相信年終獎金的新手！提供了一個開始進入領先觀察員工人數的自由選擇。,0
【每天省[X元]，還沒領錢？】這裡信貸優惠只到[DATE]喔！,0
熱門促銷活動，來了！,0
【恭喜您獲得[X%]折價券！】[ORG]限時特惠，年息最高[X%]！還送您利率嗎？立即點擊領取。,0
【外匯現鈔升等活動】快來看專屬您的存款利息。[DATE]前，可於[NUM]個月完成線上核准並達首要任務[UNK],0
【中信線上信貸真的很棒棒！】從申請到撥款都可以線上自助搞定，真的好簡單，快來體驗！,1
[DATE]前別跳過這[NUM]個問題，快來這裡體驗。中信存在[NUM]個月美元[X%]、人民幣[X%]！,0
【新年好想買】高利美元[X%]人民幣[X%],0
我們給予最好的銀行。有限的匯率、有競爭力的利率和無可比擬的裝置等。,0
了解更多市場資訊：依市場氣象圖尋找適合投資標的：【上週市場回顧】上週初美股持續強,0
【年終買外幣[UNK]定存】最短只要存[NUM]天，年息最高美元[X%]、人民幣[X%]！,0
【天冷不想出門】[PRODUCT]線上申請免出門，最快[NUM]小時撥款，還享有最低日付不到[X元]暖心價喔！,1
【讓我們來助你一把~】簡單[NUM]步驟，[NUM]小時，都能滿足您的需求 ,1
【線上申辦My Way數位存款帳戶】完成任務最高送[X元]回饋金、[X元][NUM]網購大禮包！,1
想兌換台新女人？提供最好的服務，就是要讓女性來配合！,0
【[GPE]年度[NUM]大好禮！線上申購手續費限時加碼送】[DATE]前線上申購，[UNK]推薦人獨享[NUM]個獎項等你拿!,0
【[DATE]市場檢視】美元在近期走低點對[NUM]成[NUM]，進行外幣投資新策略！,0
人民幣提早樂活享受穩賺![DATE]前，在中國信託銀行個人金融園區，擁有獨特的服務，並參加[ORG][NUM]個好禮。,0
[DATE]-[NUM]年歲末的開始，讓我們一同實現！持續至活下去-成為[GPE]的客戶時間總是不斷重覆發送,0
【[ORG]i刷[PRODUCT]】[X%]折價券最高[X元]，再享[UNK]數位通路消費滿額禮~,0
【您有一則省錢的理由】[ORG]存提外幣，免手續費、再享美元定存年息最高[X%]退休優惠，是時候買錯比終,0
【限時優利領取！】台新英雄聯盟[UNK]賽全臺料理！先看詳情~一起探吉瞧這兒，你可能只給你滿意。,0
【為你加分】線上申請享多種長短期限，每月利息不到[X元]喔~,0
辦信貸，中國信託給您年利率[X%]，餘額代償同樣適用喔！ ,1
【中信外幣帳戶連結icash[UNK]】歡慶中信連線換匯三大優惠，還有雙[NUM]特選優惠等你拿~,0
《瘋高利 趁現在》新台幣定存轉存外幣定存，美元年息最高[X%]、人民幣年息最高[X%],1
【繳款不再傷腦筋】線上開戶並辦理信用卡自動扣繳，送您[X元]折價券還可抽大獎,1
【領到年終獎金了嗎？】立即領取你的定期存款吧!把握這時機，用存[NUM]萬，每人享年年息最高[X%]喔,0
[DATE][NUM][DATE][NUM]日 凌晨 [NUM]：[NUM]至 [NUM]：[NUM] 系統暫停服務公告,1
【中信紅利兌換新貨】[GPE]工藝雙人牌精美刀具，[PRODUCT]紅利點數優惠兌換，[X%]全額折抵，換完為止 ,1
【需要資金嗎?】[PRODUCT]超低優惠利率+五星級住宿券抽獎，快來點擊！,0
【[DATE]前投資外匯評論】基金定期存款美元年息最高[X%]，敬請立即點閱！,0
"""手續費最低[X元]起！專屬於您的使用者★",0
【新春限定】[PRODUCT]友信貸利率前兩期[X%]起,0
怎能少了它?! [PRODUCT]新申辦首刷好禮[NUM]點超贈點([NUM]點=[X元])，[DATE]購物季高額回饋等你拿！,1
【敬邀參加中國信託限時專案】每月資產自由配足夠？快來看解答~趁現在！,0
【優惠只到[DATE]】房屋借現金前[NUM]期年利率[X%]起！,1
【這是時間小編在找的！】最近有出國去走走走走，留學養不夠?[URGE]來玩逛吧!,0
【就是[DATE]！開信搶優惠！】前二期年利率只要[X%]~申請[DISCOUNT]禮券喔！ ,1
【創富家限定通知】解鎖創富家專屬財管服務！,1
【小孩子真心不騙】玉山二順位貸款，輕鬆在家嗑飽飽錢、看電影，享寬限期請假日,0
理財達人傳授您~房屋貸款好利多的秘技,1
存錢比較輕鬆，你的未來還可以做什麼呢？一次改造更多的成功點擊了定存錢目標,0
【優利領取通知([NUM])】恭喜您獲得年息[X%]的美元定存優利，請立即點擊領取！,0
【[UNK]領取提醒】[DATE][NUM]點放送[NUM]組換匯[DISCOUNT]，留下聯絡方式再抽最高百萬獎金！,0
【高利定存專案倒數】年息最高美元[X%]、人民幣[X%]!,0
全球主要信任，致力於「管理」投資的公司，這些功能讓中國家在日圓相對低點,0
【限時搶![NUM]組優匯】[DATE]一起換匯吧~數位帳戶可享優惠?[URGE]大禮包,0
【親愛的%[UNK]_[UNK]%】是存小錢，存滿了這個關鍵字/交易[UNK][X元],0
【[DATE]限時加碼，跨年出國換匯領[X元]】還在等便宜匯率?別再說我沒提醒自己!,0
想到找便宜機場？「一起探索」、看雜誌、追蹤貨幣都可申請，還不參加好康！,0
【限時利率_[NUM]預告】中信[UNK][UNK]新戶專屬優惠！個人化服務，優惠券全部放大！,0
【您已被標註在此優惠中→】恭喜您符合我們的要求請資格，《申請再享前[NUM]期年利率[X%]》優惠,0
【恭喜您獲得([NUM])則獨享價】美元年息最高[X%]，快來搶申請吧！,0
【專屬優利】年息最高美元[X%]，追求升級的同時，還可享有長線及年終獎金!,0
【貴賓限定】申辦[PRODUCT]享首年免年費、首刷滿額送限量禮，天天享大高免費停車[NUM]小時！,1
【內有限時新春購物抵押】線上申辦後自助加碼，三大優惠一次滿足!,0
[DATE][NUM]日凌晨換匯[DISCOUNT]，還享[ORG]早鳥優惠~,0
【精打細算，現在就申請房貸】沒空去分行了!,0
《註冊[NUM]年限定》[NUM]大旅行社滿額贈[UNK]精品，最高[DISCOUNT]！,0
三筆滿額送咖啡！Pi刷[PRODUCT]，到超商購物或繳路邊停車費享優惠,1
嗶一下！[PRODUCT]X[ORG]消費享OPENPOINT點數[NUM]倍送,1
【超快速搞定資金缺口！】中信線上信貸，最快[NUM]小時讓您取得資金，現在就申請囉！,1
【快到期通知】貸款每[X元]日付不到[X元]，還有抽《[ORG]涼暖空氣清淨機》只到[DATE]，我保證下期就沒了!,1
[好康通知]別錯過這[NUM]個月利率[X%]，急需用信貸找中國信託，提供你超低優惠利率加碼[DISCOUNT]取菁英資格！,0
【中信旅遊玩家】[NUM]大旅行社平日住房前六大品牌享定價[X折]！,0
《外幣定存》利率最高[X%]，線上申請享有加碼現金[X元]的年利率,0
【倒！數！[NUM]！天！】申請貸款就能抽[ORG][UNK]~優惠只到[DATE]喔!,0
想成為定存嗎？你當然選擇最聰明的台新定期存款現在就趁週年慶最後倒數！,0
【想要接受購物?】[PRODUCT][NUM]小時都可申請，營業時間最快[NUM]小時資金入帳！,0
【限時。專屬】[DATE]美元[X%]人民幣[NUM]市場，指定新興市場來回於新台幣和澳幣六等主要貨幣兌換商品。,0
【小編你聽過這個妙招】「幾何抵用得得失心！」房貸年利率[X%]起，貸您省很大,0
【[PRODUCT]】不想讓生活多擔憂，中國信託銀行為您加分！,0
【[DATE]哈燒話題】做好健診，你減壓免疫力，老闆們喔~同意轉發無效喔!!,0
【年終加碼美元仍讓人回饋】[NUM]大銀行提供外匯最有利,0
【美元資金罩您~】這種優惠真的要把握!,0
匯率限時優惠不要錯過！【中信旅遊玩家】[DATE]前[NUM]名完成指定交易、跨境匯款任務，現在就來查看~,0
【[X%]】[UNK]刷中信[ORG]聯名卡消費享《[NUM]大電商最高[DISCOUNT],0
【小豬圓夢計畫】全新功能，開運包變身投資金太大！,0
【你的美元成長囉】年息最高美元[X%]、人民幣[X%]！,0
【[DATE]壽星，祝您生日快樂】我們嚴選推薦線上貸款，邀請您來體驗，《申請再抽好禮喔》!,1
【免費送[X元]及買一送[X折]價券】中信[UNK]貸[NUM]小時開放申請，營業時間最快[NUM]小時讓您取得資金！,0
【中信外幣活存專案】[PRODUCT]限定，年息最高美元[X%]、人民幣[X%]！,0
【立即獲得優惠價，千萬別錯過】★╮貸款前兩期只要《[X%]》，線上申請不麻煩!! 申請再抽《[X元]禮卷》,1
【真的!在這裡！】外幣優利定存年息最高[X%]，年息最高,0
【限時[NUM]申購手續費】新政府振興券來了~立刻試算[UNK],0
【沒事的!這邊申請不會被發現的】這邊申請貸款都online，低調安全又優惠，申請還可以抽紅包喔!,1
【你選擇哪一類】[DATE]一步驟，聰明投資法立即算，掌握財富人生！,0
【為這樣就可以存到多少錢。?】想買房子、借現金，存出各種好康等著你把剩下來~,0
【倒數計時】週年慶消費滿額獲[X元]~限量登錄！申辦[PRODUCT]首刷滿額可獲超贈點[NUM]點！,1
【恭喜您獲得([NUM])則專屬優匯】[DATE]來[ORG]購物金、網路商城購物金等你拿！,0
【中信電影咖報報】跟著蜘蛛人一起返校吧！,1
"【恭喜您獲得""利""[X元]網銀客戶獨享】大鈔票最高[X%]再抽[UNK][NUM]活動只到[DATE]止。",0
中國信託是一家專業的私人銀行，提供各種投資銀行、證券和個人金融服務。,0
【年終強檔】靠[NUM]招利[UNK]，換匯管道自動儲值讓你月領錢！,0
【[DATE]限定】迎「薪」囉！新年給您超低優利率，線上申請免出門並按月搞定資金問題，立即體驗！,0
【星展[DATE]換匯e達人】教您「節目減碼」出國、免出門最高[NUM]成線上申辦加送[X%]基金，享[X元]點再[DISCOUNT],0
了解更多市場資訊：依市場氣象圖尋找適合投資標的：【上週市場回顧】美、歐及貨幣復甦復甦已有[NUM],0
【提醒您[DATE]搶優惠】年息最高美元[X%]，請點入瞭解更多信息，恭喜以下享獎者只到[DATE]，請立即開信了解詳情,0
【刷卡交易好放心！】必看超強信用卡生活服務功能！ ,1
[DATE]樂瘋搶新戶[NUM]組換匯享最高[X元]組換匯[NUM],0
【您的定存快報】敬邀大家參加中國信託基金定存年息最高[X%]！,0
【[PRODUCT]】不想讓生活多擔憂，中國信託銀行為您加分！,0
中國信託Garmin Pay 手錶直接感應就能付款！,1
<限時加碼>[NUM]點不等人，美元已入帳戶！,0
《亞洲萬里通》[ORG]刷[PRODUCT]享[X折]起,0
【恭喜你賺到了】貸款計算機幫你試算月付金，還有抽LINE FRIENDS夜燈活動只到[DATE]喔!,1
想要自由選擇嗎？實現豐富的人生!簡單[NUM]步驟，助您擺脫星展趨勢吧！,0
現在來到中國信託銀行，對您的貨幣、行動裝備優惠和高息定期存款優惠。,0
【年終口袋救援王登場！】房貸利率低、額度高、每月付不到[X元]，還有抽《[ORG]涼暖空氣清淨機》只到本[DATE]~,0
【[DATE]限時搶[NUM]組驚喜！】[DATE]一起[UNK]優匯~[NUM]組基金申購手續費[X折]等你來搶，沒搶到也是人人有獎喔!,0
[PRODUCT]別錯過！[ORG]尊享[UNK][UNK][X%]購物金回饋，海外消費最高享[DISCOUNT]！,0
【 i刷[PRODUCT]_[DATE]號】旅遊、美食、電影、購物優惠通通有!,1
【房屋神救援】三步驟線上開戶，輕鬆養成彈性大流！,0
【利率限時加碼驚喜→】現在預支[NUM]萬，每月收入要分配多少作為還款呢?快來點擊試算!,0
年息最高[X%]了嗎？立即為您的換匯打造計劃，每天熱映[NUM]個美元,0
【這個省錢出門倒數】美元趁現在，年息最高[X%]，一手掌握美元，優匯自由選擇,0
【強勢美元換匯[UNK]】[DATE]至[ORG](六)止，至[ORG]以下優惠可洽詢,0
好康加碼！[GPE]晶英酒店線上訂房優惠價[X元]起，加購[ORG]車票享[X折],1
【超強利】外幣定存，強利出擊~最短存[NUM]個月即享高利，年息最高美元[X%],1
【中信樂退go台新[DATE]報】新手上路一路挖寶◢[X元]開戶，再抽[UNK][NUM]~,0
【手指就是提款卡】中信ATM指靜脈提款，免插卡也能在ATM領錢！,1
【超給力的服務再升級】線上申辦數位帳戶，完成任務享三大好禮！,0
【[GPE]聯名卡】一送到，是時候在[ORG]街口支票選中慶典！,0
台新銀行「限定客戶」通過獎勵積累你的想像未來，帶給重要財富不可分】,0
【專屬權益通知】[PRODUCT]代繳保費享[NUM]期分期[NUM]利率!,0
 【來[DISCOUNT]禮券囉！】是的現在線上申請貸款就可[DISCOUNT]禮券再享超低優惠利率！,1
【後疫情時代~一起酷玩人生】網購紅利點數最高[NUM]倍~吃喝玩樂百貨即時折抵!,0
【?別讓繳稅打亂資金運用！】用信貸讓自己多一些備用金，資金運用會更輕鬆一些，立即申請！ ,1
【現在線上申貸享開辦費[X折]】完成指定任務可獲得[X元][UNK]結帳選擇！,0
【[UNK]新卡陪你過夏日】中信[ORG]聯名卡友搶先購！,0
【銀行房屋的最佳方案】自設的小幫手這樣做，房子不只可以裝潢還能帶來個新樣子！,0
[NUM]年期間利率[X%]起最高[X%]、[X%]！選出看這個優質服務領取的你，來選享受聰明理財保障！,0
【[DATE]前多期利率只到[DATE]】試算看看您有多少資金需求？申請還可獲得多多的快速神救援！,0
【新春好殺】房貸年利率[X%]起，助您快速減擔新春！,0
【開工出門輕鬆省，買便宜】外幣高利美元[X%]人民幣[X%],0
新申辦享首刷禮[NUM]點超贈點([NUM]點=[X元])！[PRODUCT][DATE]狂歡購物滿額禮等你拿！,1
【卡友權益】[ORG]卡新上市，請立即升等/加辦送免費加油金，抽LEXUS！(立即網路申辦),1
【限量[NUM]組換匯[DISCOUNT]】[DATE][DATE]限定，跨年出國high換匯趁現在,0
【[DATE]外幣檢視及哈燒話題】歐元漲破[NUM]美元，中國帶你出國脫離[ORG]、[GPE]、日圓貶值,0
【[NUM]招讓存款輕鬆存錢】定存幫你存[NUM]招！年息最高[X%]，再抽[UNK][X元]了！,0
【[NUM]招聰明買股息】每[DATE]外幣定存來這裡，專人為您省的日常金庫！,0
【存錢建議】企業客戶首創，公司成為財富管理、私人銀行及個人金融產品。,0
「外匯理財」便宜了!您在投資理財中的超低門檻在這裡。讓我們幫助你創造一個賺來的利率，成功地解決你的金,0
聖誕老人送好禮！新申辦[PRODUCT]首刷禮享[NUM]點超贈點([NUM]點=[X元])！,1
【中信[UNK]貸限時優質薪轉戶好康】貸您享有年利率前三期[X%]！,0
投資這麼好用，投資、投資都能微不足道！,0
【[DATE]新鮮事】球迷別錯過！洲際棒球文創園區開幕了！,1
【你不可能每月都改變通知道的秘密】用基金投資來滿足您對基金的期待，同時也幫助你整合財務自由,0
【啟動聰明理財】想提早開始富足人生？現在開始準備。幸福退休不是夢！ ,1
謠傳五窮六絕，等不到好時點入市？就靠[NUM]招告訴你怎麼買基金！,1
【[DATE]期間限定】在家幫你自動規劃未來的資金，享受創新高利率和長期保護的回報。,0
【[DATE]在家也能搶先報】今年最後定存還可參加[X元]手續費，快來看看現在的你！,0
